n,k,beta,rbar_minus_A,min_P,max_Q_hat,max_K0,max_K1
15,1,-11,-8.13227489470844,21.977205146954148,-0.34942177877882447,-3.470642052031565,-3.312538859209665
15,2,-11,-2.310301621541835,18.484347566239308,-1.3649069905934845,-4.1357216589915895,-3.537495798906571
15,3,-11,-1.3417056330665396,18.03692322554243,-2.5101055777793064,-5.713958359548866,-4.564039238904306
15,4,-11,-0.944779375349281,21.05997713220501,-3.1000148144837576,-6.293237418235895,-4.327427450282582
15,5,-11,-0.72858914287856,33.42424371632927,-3.597399586418443,-5.889822402290731,-3.3256163152072995
15,6,-11,-0.5923428578072752,38.00891413342521,-4.015619858187347,-4.726920940997987,-2.1175134115612635
15,7,-11,-0.49837062514277886,38.28100409834933,-4.360371161935827,-3.3384649229472148,-0.120768060292059
15,8,-10,-1.0384009166587584,41.24810659625062,-4.121189929974409,-5.357935201546311,-3.6895210674804124
15,9,-9,-1.5624230612913663,42.16787904622696,-3.688381524929402,-7.523926532880343,-6.6449801729866325
15,10,-9,-1.2775726810428987,45.14254733017282,-3.5774781740625277,-4.168277306538404,-3.0943939538955814
15,11,-8,-1.612187245151651,45.91044005547664,-2.876516356951858,-4.367822407385333,-3.7120697548342276
15,12,-7,-1.780966020435086,45.53821939187611,-2.026595372468235,-2.1349589765150863,-1.9925269949446023
16,1,-12,-8.98654048599031,24.935667152352988,-0.34972597005668704,-3.663749628096629,-3.5145141417298955
16,2,-12,-2.481344621104588,20.739546983717464,-1.3846223939992157,-4.316843470572561,-3.7071089173820897
16,3,-12,-1.4335000960743773,19.978986891223563,-2.576067383383852,-5.938480819946338,-4.793163899802469
16,4,-12,-1.007231789794532,22.69854065584874,-3.208959147445678,-6.737851134219855,-4.754581553495757
16,5,-12,-0.775948783002266,34.09068694421569,-3.7528354077096644,-6.656063045083298,-3.98983265505295
16,6,-12,-0.6305980857310932,42.17591568167834,-4.222073558477763,-5.894100110915707,-2.8385026368260298
16,7,-12,-0.5306144747966421,42.61734609357826,-4.622870882519993,-4.646920799315523,-0.9548888276900551
16,8,-11,-1.1128196700112674,44.91041620050005,-4.420378089765657,-7.2120251009630705,-5.113984948595824
16,9,-11,-0.939448448740453,46.91291592139315,-4.58688234230176,-4.991185093138122,-1.6926523794327908
16,10,-10,-1.4005691451806142,48.39303718129477,-4.05889990289274,-7.02151754683187,-5.751976055159385
16,11,-10,-1.1739625667629463,51.04506282145175,-3.917696905011551,-3.6750713392487078,-1.0263056047533345
16,12,-9,-1.4827231591871164,51.91156890260595,-3.1377778128764438,-3.849383196160967,-2.8296981775683503
16,13,-8,-1.6633177274162665,51.32049240510711,-2.221141339687672,-1.767959497956846,-1.3346846716845533
17,1,-13,-9.82447630237522,28.017544344813643,-0.3498147161536931,-3.8471317838171166,-3.705120537445287
17,2,-13,-2.6439632812932308,23.083329590375765,-1.400751795480367,-4.491280358797221,-3.8703650242981773
17,3,-13,-1.5203948174938984,21.99468430383666,-2.631423886323009,-6.13805298201606,-4.992761085547384
17,4,-13,-1.0662190779797671,24.421210887299164,-3.3017360043706545,-7.120387878622955,-5.112038734239901
17,5,-13,-0.8205952346576286,35.00258821744736,-3.8858596971156874,-7.242039287198905,-4.484422816189109
17,6,-13,-0.666582757855996,46.15569387550944,-4.399392343364609,-6.799587593085855,-3.4082947308105105
17,7,-13,-0.5608545725288832,47.151329746803036,-4.848800134185811,-5.874229537188272,-1.6758360942686368
17,8,-12,-1.1824888729990715,48.781047278675956,-4.672442651625196,-8.798382209494896,-6.351538595951241
17,9,-12,-0.9991688074855122,50.702843544627875,-4.914072681418139,-6.880872472379983,-3.3726369294406355
